iter	Passed	Remaining
404	9871	14502
405	9895	14478
406	9921	14455
407	9945	14431
408	9971	14409
409	9998	14388
410	10024	14366
411	10049	14342
412	10076	14322
413	10108	14308
414	10135	14287
415	10160	14264
416	10171	14220
417	10196	14197
418	10219	14170
419	10247	14151
420	10273	14129
421	10283	14085
422	10312	14066
423	10340	14046
424	10363	14021
425	10388	13997
426	10421	13984
427	10449	13965
428	10472	13938
429	10496	13914
430	10520	13889
431	10543	13863
432	10565	13835
433	10595	13817
434	10621	13795
435	10645	13770
436	10678	13758
437	10705	13735
438	10729	13711
439	10759	13693
440	10787	13673
441	10815	13654
442	10840	13630
443	10867	13608
444	10877	13566
445	10904	13544
446	10927	13518
447	10954	13497
448	10977	13471
449	10999	13443
450	11029	13425
451	11054	13402
452	11081	13381
453	11095	13343
454	11122	13322
455	11146	13297
456	11169	13270
457	11190	13242
458	11216	13220
459	11241	13196
460	11268	13174
461	11298	13157
462	11323	13133
463	11348	13109
464	11372	13084
465	11397	13060
466	11420	13034
467	11447	13013
468	11475	12992
469	11503	12971
470	11528	12948
471	11554	12925
472	11584	12906
473	11611	12885
474	11636	12860
475	11660	12836
476	11685	12812
477	11708	12786
478	11733	12762
479	11763	12743
480	11786	12717
481	11815	12698
482	11838	12671
483	11863	12647
484	11887	12623
485	11912	12599
486	11937	12574
487	11962	12551
488	11988	12527
489	12015	12506
490	12046	12487
491	12068	12460
492	12097	12441
493	12122	12417
494	12146	12391
495	12169	12366
496	12187	12334
497	12210	12308
498	12235	12284
499	12265	12265
500	12295	12246
501	12323	12225
502	12340	12193
503	12366	12170
504	12395	12149
505	12421	12126
506	12446	12102
507	12474	12081
508	12498	12056
509	12523	12032
510	12550	12010
511	12580	11990
512	12607	11968
513	12634	11946
514	12660	11923
515	12684	11897
516	12708	11872
517	12733	11848
518	12758	11824
519	12791	11807
520	12816	11783
521	12840	11758
522	12865	11734
523	12897	11716
524	12932	11700
525	12959	11678
526	12983	11652
527	13021	11640
528	13050	11619
529	13075	11595
530	13098	11569
531	13122	11543
532	13145	11518
533	13168	11491
534	13192	11466
535	13217	11441
536	13243	11418
537	13259	11386
538	13300	11375
539	13334	11358
540	13347	11324
541	13379	11305
542	13406	11283
543	13428	11255
544	13450	11229
545	13473	11203
546	13497	11178
547	13520	11151
548	13545	11127
549	13570	11103
550	13594	11077
551	13620	11054
552	13644	11029
553	13665	11001
554	13677	10966
555	13702	10942
556	13726	10916
557	13751	10892
558	13778	10869
559	13807	10848
560	13832	10823
561	13862	10803
562	13887	10779
563	13915	10757
564	13948	10738
565	13974	10715
566	13998	10690
567	14033	10673
568	14060	10650
569	14082	10623
570	14111	10602
571	14137	10578
572	14167	10557
573	14190	10531
574	14214	10506
575	14240	10482
576	14263	10456
577	14270	10419
578	14293	10392
579	14318	10368
580	14343	10344
581	14370	10321
582	14394	10296
583	14424	10275
584	14449	10250
585	14472	10224
586	14496	10199
587	14521	10174
588	14547	10151
589	14574	10128
590	14600	10104
591	14624	10079
592	14647	10053
593	14673	10029
594	14699	10005
595	14726	9982
596	14755	9960
597	14781	9936
598	14804	9911
599	14828	9885
600	14850	9859
601	14877	9836
602	14911	9817
603	14944	9798
604	14976	9777
605	15003	9754
606	15035	9734
607	15061	9710
608	15084	9684
609	15110	9661
610	15133	9634
611	15156	9609
612	15180	9583
613	15206	9560
614	15230	9534
615	15254	9509
616	15283	9487
617	15308	9462
618	15334	9438
619	15357	9412
620	15382	9388
621	15405	9362
622	15435	9340
623	15469	9321
624	15497	9298
625	15519	9271
626	15541	9245
627	15553	9213
628	15577	9187
629	15601	9162
630	15626	9138
631	15650	9112
632	15674	9087
633	15700	9063
634	15723	9037
635	15747	9012
636	15779	8992
637	15804	8967
638	15837	8947
639	15871	8927
640	15898	8904
641	15924	8880
642	15947	8853
643	15972	8829
644	16000	8806
645	16031	8785
646	16056	8760
647	16090	8740
648	16116	8716
649	16149	8695
650	16185	8676
651	16224	8659
652	16251	8635
653	16268	8606
654	16296	8583
655	16320	8558
656	16353	8537
657	16378	8512
658	16403	8487
659	16426	8461
660	16450	8436
661	16474	8411
662	16497	8385
663	16530	8365
664	16554	8339
665	16584	8317
666	16609	8292
667	16628	8264
668	16660	8243
669	16694	8222
670	16717	8196
671	16743	8172
672	16765	8146
673	16791	8121
674	16816	8096
675	16840	8071
676	16865	8046
677	16888	8020
678	16911	7994
679	16935	7969
680	16959	7944
681	16988	7921
682	17008	7893
683	17041	7873
684	17065	7847
685	17088	7821
686	17115	7797
687	17139	7772
688	17167	7749
689	17201	7728
690	17235	7707
691	17276	7689
692	17311	7668
693	17344	7647
694	17369	7622
695	17394	7597
696	17417	7571
697	17440	7545
698	17473	7524
699	17498	7499
700	17522	7473
701	17548	7449
702	17579	7427
703	17612	7405
704	17635	7379
705	17668	7357
706	17702	7336
707	17726	7311
708	17750	7285
709	17773	7259
710	17813	7240
711	17836	7214
712	17860	7189
713	17883	7163
714	17908	7138
715	17934	7113
716	17962	7089
717	17988	7065
718	18016	7041
719	18042	7016
720	18071	6992
721	18105	6971
722	18135	6948
723	18164	6924
724	18199	6903
725	18222	6877
726	18246	6851
727	18259	6822
728	18283	6796
729	18309	6772
730	18337	6747
731	18361	6722
732	18390	6698
733	18416	6674
734	18450	6652
735	18477	6627
736	18503	6603
737	18530	6578
738	18559	6554
739	18584	6529
740	18612	6505
741	18635	6479
742	18662	6455
743	18685	6429
744	18711	6404
745	18734	6378
746	18763	6354
747	18797	6332
748	18829	6309
749	18856	6285
750	18879	6259
751	18904	6234
752	18927	6208
753	18959	6185
754	18985	6160
755	19008	6135
756	19033	6109
757	19055	6083
758	19077	6057
759	19101	6032
760	19140	6011
761	19168	5986
762	19202	5964
763	19227	5939
764	19253	5914
765	19280	5889
766	19306	5864
767	19342	5842
768	19371	5818
769	19396	5793
770	19427	5770
771	19451	5744
772	19476	5719
773	19499	5693
774	19527	5669
775	19558	5645
776	19582	5620
777	19607	5594
778	19620	5566
779	19642	5540
780	19670	5515
781	19701	5492
782	19728	5467
783	19753	5442
784	19778	5416
785	19801	5391
786	19831	5367
787	19858	5342
788	19883	5317
789	19909	5292
790	19934	5267
791	19964	5243
792	19989	5217
793	20016	5193
794	20040	5167
795	20066	5142
796	20090	5117
797	20120	5093
798	20145	5067
799	20170	5042
800	20195	5017
801	20220	4992
802	20243	4966
803	20266	4940
804	20289	4914
805	20313	4889
806	20336	4863
807	20358	4837
808	20378	4811
809	20402	4785
810	20427	4760
811	20452	4735
812	20475	4709
813	20498	4683
814	20518	4657
815	20551	4634
816	20583	4610
817	20615	4586
818	20648	4563
819	20671	4537
820	20695	4512
821	20718	4486
822	20742	4461
823	20768	4435
824	20791	4410
825	20814	4384
826	20837	4358
827	20862	4333
828	20886	4308
829	20918	4284
830	20952	4261
831	20984	4237
832	21019	4213
833	21047	4189
834	21071	4163
835	21094	4138
836	21118	4112
837	21148	4088
838	21177	4063
839	21217	4041
840	21244	4016
841	21267	3990
842	21293	3965
843	21332	3942
844	21358	3917
845	21382	3892
846	21415	3868
847	21439	3842
848	21467	3818
849	21491	3792
850	21516	3767
851	21536	3741
852	21561	3715
853	21585	3690
854	21609	3664
855	21636	3639
856	21666	3615
857	21694	3590
858	21720	3565
859	21745	3539
860	21773	3515
861	21798	3489
862	21832	3465
863	21859	3440
864	21881	3415
865	21907	3389
866	21932	3364
867	21956	3339
868	21981	3313
869	22010	3288
870	22038	3264
871	22069	3239
872	22094	3214
873	22117	3188
874	22145	3163
875	22171	3138
876	22199	3113
877	22224	3088
878	22248	3062
879	22272	3037
880	22303	3012
881	22328	2987
882	22357	2962
883	22385	2937
884	22408	2911
885	22436	2886
886	22461	2861
887	22483	2835
888	22514	2811
889	22543	2786
890	22569	2761
891	22599	2736
892	22624	2710
893	22653	2685
894	22678	2660
895	22701	2635
896	22727	2609
897	22752	2584
898	22776	2558
899	22800	2533
900	22824	2507
901	22847	2482
902	22870	2456
903	22904	2432
904	22927	2406
905	22952	2381
906	22975	2355
907	23014	2331
908	23040	2306
909	23065	2281
910	23089	2255
911	23116	2230
912	23138	2204
913	23166	2179
914	23196	2154
915	23224	2129
916	23250	2104
917	23276	2079
918	23301	2053
919	23332	2028
920	23355	2003
921	23383	1978
922	23409	1952
923	23434	1927
924	23460	1902
925	23489	1877
926	23520	1852
927	23543	1826
928	23572	1801
929	23595	1776
930	23629	1751
931	23658	1726
932	23683	1700
933	23711	1675
934	23734	1649
935	23763	1624
936	23797	1600
937	23831	1575
938	23863	1550
939	23898	1525
940	23926	1500
941	23949	1474
942	23975	1449
943	23999	1423
944	24023	1398
945	24057	1373
946	24086	1348
947	24113	1322
948	24141	1297
949	24168	1272
950	24197	1246
951	24225	1221
952	24251	1196
953	24276	1170
954	24308	1145
955	24332	1119
956	24359	1094
957	24384	1069
958	24412	1043
959	24442	1018
960	24466	992
961	24494	967
962	24518	942
963	24546	916
964	24570	891
965	24594	865
966	24619	840
967	24649	814
968	24670	789
969	24700	763
970	24727	738
971	24751	713
972	24779	687
973	24807	662
974	24835	636
975	24861	611
976	24884	585
977	24909	560
978	24934	534
979	24971	509
980	25008	484
981	25037	458
982	25066	433
983	25091	407
984	25116	382
985	25144	357
986	25171	331
987	25198	306
988	25228	280
989	25258	255
990	25286	229
991	25318	204
992	25353	178
993	25385	153
994	25409	127
995	25433	102
996	25457	76
997	25481	51
998	25508	25
999	25534	0
